safety_id,mechanism,layer_or_module,authority_type,input_or_trigger,allow_effect,block_effect,persistence,observable_evidence,fail_closed_status,restart_safe,current_classification
ESI-013,Rounding risk non-increase check,quantity_converter.py,mechanical_guardrail,"rounded quantity x risk distance",allows non-increasing risk,raises on increase,none,ExchangeReadyIntent/error,YES,YES_IF_REAPPLIED,PRESENT_NOT_RISK_RECALCULATION
ESI-014,Read-only adapter mode,exchange_read_adapter.py,exchange_access,"adapter mode",allows READ_ONLY reads,blocks non-READ_ONLY adapter,none,ExchangeReadResult/error,YES,YES_IF_REAPPLIED,PROVEN
ESI-015,Local/exchange reconciliation,exchange_reconciler.py,reconciliation,"local snapshot + supplied exchange snapshots",returns RECONCILIATION_OK,blocks mismatch/unknown/read failure,none,ReconciliationResult,YES,NO_STARTUP_MANDATE,PROVEN_CLASSIFIER
ESI-016,Pre-submit reservation,testnet_command_gateway.py,reservation,"TESTNET + manual enable + reconciliation OK",creates deterministic client_order_id and reservation,blocks gate failure,optional executor ledger,RESERVED_PRE_SUBMIT event,YES,PARTIAL,PROVEN_ORDERING
ESI-017,LIVE hard block,testnet_command_gateway.py;testnet_submit_adapter.py;testnet_real_submit.py,mode_gate,"mode LIVE",none,hard block,none,CommandDecision/SubmitResult,YES,YES_IF_REAPPLIED,PROVEN
ESI-018,Manual TESTNET enable,testnet_command_gateway.py;testnet_real_submit.py,mode_gate,"manual_enable",permits TESTNET path when true,blocks when false,config,CommandDecision/SubmitResult,YES,YES_IF_REAPPLIED,PROVEN
ESI-019,TESTNET credentials gate,testnet_real_submit.py,credential_gate,"external api key/secret",permits gated TESTNET submit,blocks missing credentials,external secrets,SubmitResult,YES,YES_IF_REAPPLIED,PROVEN
ESI-020,TESTNET endpoint gate,testnet_real_submit.py,environment_gate,"Bybit TESTNET endpoint",permits testnet endpoint,blocks LIVE/wrong endpoint,config,SubmitResult,YES,YES_IF_REAPPLIED,PROVEN
ESI-021,E17 emergency max notional,testnet_real_submit.py,mechanical_guardrail,"configured max notional",permits below cap,blocks above cap,config,SubmitResult,YES_IF_CONFIGURED,YES_IF_REAPPLIED,PRESENT
ESI-022,Submit timeout/unknown handler,submit_outcome_handler.py,unknown_state,"timeout or unknown SubmitResult",none,blocks/manual review,no mandatory reload,E10 ledger event and snapshot,YES_IN_PROCESS,NO,PROVEN_CLASSIFICATION
ESI-023,Append-only event ledger,execution_event_ledger.py,state_authority,"executor-local events",reconstructs deterministic snapshot,derived block flags,optional explicit path,JSONL events and snapshot,YES_FOR_RECORDED_EVENTS,PARTIAL,PROVEN_OPTIONAL_PERSISTENCE
ESI-024,Post-submit reconciliation,post_submit_reconciler.py,reconciliation,"SubmitResult + local snapshot + exchange snapshot",classifies consistent state,blocks mismatch/read failure,none,result and optional ledger-compatible output,YES,NO_STARTUP_MANDATE,PROVEN_CLASSIFIER
ESI-025,No blind retry,E16-E18 architecture,execution_policy,"timeout/unknown",none,unknown remains blocking,ledger/result,submit outcome snapshot,YES,PARTIAL,PROVEN_IN_FLOW
ESI-026,Duplicate process protection,none,process_safety,"second executor process",none,none,none,none,NO,NO,MISSING
ESI-027,Mandatory startup ledger replay,none,restart_safety,"executor process startup",none,none,none,none,NO,NO,MISSING
ESI-028,Mandatory startup exchange reconciliation,none,restart_safety,"executor process startup",none,none,none,none,NO,NO,MISSING
ESI-029,Unified ATS plus executor kill switch,none,cross_system_authority,"ATS or executor emergency stop",none,none,none,none,NOT_PROVEN,NO,MISSING_NOT_PROVEN
ESI-030,Uniform ledger logging of all safety blocks,partial across E10/E14/E16,observability,"any blocked decision",n/a,n/a,partial,immutable results plus selected ledger events,PARTIAL,PARTIAL,INCOMPLETE
